Lrise,Ga,Bo,maxVelocity,Ratio,max_ratio,L_bounce_center,L_bounce_upper,t_last
20,2.5,0.01,0.674898,1.00121,1.01227,0.0019,0.0032,36.0
20,2.5,0.04,0.670742,1.00462,1.03837,0.0,0.0004,36.13
20,2.5,0.07,0.669042,1.00802,1.06166,0.0,0.0005,37.4
20,2.5,0.1,0.667352,1.01139,1.08443,0.0,0.0009,38.04
20,2.5,0.4,0.65404,1.04443,1.26422,0.0,0.0,42.89
20,2.5,0.7,0.642722,1.07584,1.41254,0.0,0.0,47.16
20,2.5,1,0.632693,1.10571,1.54505,0.0,0.0,49.79
20,2.5,4,0.580315,1.31651,2.66773,0.0,0.0,62.58
20,2.5,7,0.564214,1.42713,3.72752,0.0,0.0,68.6
20,2.5,10,0.557532,1.45866,4.75631,0.0,0.0,71.8
20,2.5,20,0.552618,1.45944,7.48756,0.0,0.0,97.54
20,1,0.001,0.33022,1.0001,1.0018,0.0,0.0033,70.78
20,1,0.004,0.314964,1.0002,1.00463,0.0,0.0032,74.0
20,1,0.007,0.31288,1.00028,1.00877,0.0,0.0032,75.24
20,1,0.01,0.311897,1.00037,1.01114,0.0,0.0032,75.43
20,1,0.04,0.310246,1.00121,1.03578,0.0,0.0004,78.95
20,1,0.07,0.309812,1.00208,1.05959,0.0,0.0,80.67
20,1,0.1,0.309523,1.00299,1.08232,0.0,0.0,82.4
20,1,0.4,0.307774,1.01155,1.25588,0.0,0.0,89.39
20,1,0.7,0.306268,1.0199,1.40005,0.0,0.0,95.37
20,1,1,0.304909,1.02773,1.52964,0.0,0.0,98.74
20,1,4,0.297296,1.08249,2.61056,0.0,0.0,112.65
20,1,7,0.294736,1.11478,3.58153,0.0,0.0,119.4
20,1,10,0.293519,1.13774,4.49827,0.0,0.0,124.31
20,1,20,0.292312,1.15453,6.95381,0.0,0.0,133.05
15,100,0.001,5.64824,1.00829,1.12331,4.9824,4.8604,6.32
15,100,0.004,5.50772,1.03343,1.2548,4.5237,4.3218,6.55
15,100,0.007,5.41626,1.05863,1.34463,4.3486,4.1011,6.59
15,100,0.01,5.28501,1.08095,1.41567,4.1652,3.8816,6.68
15,100,0.04,4.50383,1.29836,1.85754,3.4826,3.1015,7.08
15,100,0.07,3.99558,1.48034,2.18447,3.2015,2.6819,7.5
15,100,0.1,3.63338,1.64198,2.4314,2.8972,2.4603,7.81
15,100,0.4,2.30712,2.5149,3.89653,1.341,0.5298,10.16
15,100,0.7,1.97313,2.75529,4.8684,1.0529,0.4794,12.29
15,100,1,1.8819,2.73218,4.90014,1.1467,0.306,14.46
15,80,0.001,5.41423,1.00769,1.11705,4.3236,4.2072,6.36
15,80,0.004,5.28997,1.03057,1.23818,3.9491,3.7555,6.53
15,80,0.007,5.19547,1.05335,1.32059,3.7684,3.5253,6.62
15,80,0.01,5.09202,1.07458,1.38732,3.6122,3.3521,6.63
15,80,0.04,4.37038,1.27182,1.79708,3.0082,2.5987,7.03
15,80,0.07,3.89956,1.43753,2.07869,2.7589,2.3084,7.44
15,80,0.1,3.56033,1.58253,2.31368,2.5227,2.0416,7.75
15,80,0.4,2.28289,2.36463,3.5969,1.2518,0.5305,10.12
15,80,0.7,1.92956,2.72776,4.3042,0.8881,0.3882,12.12
15,80,1,1.7841,2.83882,5.42573,0.9707,0.3177,14.06
15,60,0.001,5.00829,1.00652,1.10705,3.4706,3.3588,6.33
15,60,0.004,4.94208,1.02634,1.21355,3.1205,2.9373,6.48
15,60,0.007,4.84722,1.04534,1.2883,2.9555,2.7302,6.56
15,60,0.01,4.76336,1.06404,1.34268,2.8505,2.5872,6.59
15,60,0.04,4.14525,1.23067,1.70704,2.3713,2.022,6.99
15,60,0.07,3.7381,1.37285,1.94874,2.1876,1.7933,7.36
15,60,0.1,3.43534,1.49138,2.14866,2.0058,1.5213,7.72
15,60,0.4,2.24308,2.20268,3.18804,1.0816,0.594,10.06
15,60,0.7,1.88619,2.523,3.92639,0.7549,0.2084,11.96
15,60,1,1.7093,2.71613,4.83364,0.6898,0.0344,13.61
15,50,0.001,4.76523,1.00598,1.0999,2.8857,2.7828,6.29
15,50,0.004,4.68156,1.02328,1.1953,2.6117,2.4324,6.55
15,50,0.007,4.58823,1.04017,1.26356,2.4329,2.2175,6.57
15,50,0.01,4.51824,1.05662,1.31559,2.3698,2.1281,6.59
15,50,0.04,3.96913,1.20299,1.64464,1.9724,1.5743,7.0
15,50,0.07,3.60675,1.32831,1.8614,1.8308,1.3709,7.38
15,50,0.1,3.33131,1.43412,2.03764,1.6869,1.2633,7.67
15,50,0.4,2.21584,2.06247,2.97597,0.9566,0.4687,10.04
15,50,0.7,1.86056,2.3784,3.65291,0.6769,0.1048,11.87
15,50,1,1.6699,2.58663,4.31784,0.5618,0.0,13.42
15,40,0.001,4.33063,1.00467,1.08608,1.9956,1.9042,6.62
15,40,0.004,4.29569,1.0191,1.1721,1.956,1.7968,6.57
15,40,0.007,4.20585,1.03272,1.22955,1.8269,1.6311,6.62
15,40,0.01,4.16168,1.04648,1.27441,1.783,1.5564,6.66
15,40,0.04,3.71315,1.16706,1.56427,1.5037,1.1796,7.05
15,40,0.07,3.41012,1.27126,1.75031,1.4148,1.02,7.43
15,40,0.1,3.17553,1.36181,1.89864,1.3208,0.9241,7.72
15,40,0.4,2.16677,1.89882,2.71912,0.7889,0.295,10.05
15,40,0.7,1.823,2.19626,3.30719,0.5771,0.0,11.81
15,40,1,1.63102,2.40722,3.84671,0.4601,0.0,13.27
15,30,0.001,3.71405,1.00347,1.07005,0.5396,0.4592,5.97
15,30,0.004,3.73583,1.01405,1.14037,1.2416,1.1041,6.77
15,30,0.007,3.67632,1.02393,1.18528,1.1556,0.9854,6.79
15,30,0.01,3.6262,1.03364,1.22261,1.1123,0.9233,6.85
15,30,0.04,3.32117,1.12357,1.45788,0.9791,0.6578,7.25
15,30,0.07,3.09306,1.20082,1.60461,0.9484,0.6013,7.6
15,30,0.1,2.91466,1.26946,1.72331,0.8956,0.4908,7.92
15,30,0.4,2.07892,1.70396,2.4029,0.5903,0.0477,10.17
15,30,0.7,1.76429,1.96778,2.87436,0.4532,0.0,11.85
15,30,1,1.58113,2.17718,3.34605,0.3679,0.0,13.21
15,20,0.001,2.96222,1.00206,1.04981,0.6118,0.5523,7.22
15,20,0.004,2.90033,1.00791,1.09634,0.5126,0.4075,7.37
15,20,0.007,2.86927,1.01359,1.12736,0.4856,0.3537,7.41
15,20,0.01,2.84465,1.01905,1.15363,0.4757,0.3297,7.49
15,20,0.04,2.68363,1.07138,1.31706,0.4587,0.2084,7.89
